"","Team","Team.Score","Opponent.Score","Team.Score.Mean","Opponent.Score.Mean","Team.Score.Var","Opponent.Score.Var","Loss","Win","WinRatio","Matches"
"238","Grambling",4752,6500,55.9058823529412,76.4705882352941,166.110084033613,158.490196078431,78,7,0.0823529411764706,85
"239","Grand Canyon",4224,4196,70.4,69.9333333333333,113.261016949153,119.554802259887,28,32,0.533333333333333,60
"240","Greensboro",312,440,62.4,88,121.3,21.5,5,0,0,5
"241","Greenville",105,167,52.5,83.5,24.5,112.5,2,0,0,2
"242","Guilford",49,76,49,76,0,0,1,0,0,1
"243","G Washington",6482,6054,68.9574468085106,64.4042553191489,149.611072981011,108.867078471746,36,58,0.617021276595745,94
"244","Gwynedd-Mercy",149,179,74.5,89.5,144.5,84.5,2,0,0,2
"245","Hampden-Sydney",53,82,53,82,0,0,1,0,0,1
"246","Hampton",6289,6272,67.6236559139785,67.4408602150538,152.172043010753,112.031790556335,45,48,0.516129032258065,93
"247","Hannibal-Lagr",49,86,49,86,0,0,1,0,0,1
"248","Hardin-Simmons",59,104,59,104,0,0,1,0,0,1
"249","Harris-Stowe",122,198,61,99,50,50,2,0,0,2
"250","Hartford",5767,5867,62.6847826086956,63.7717391304348,114.196249402771,122.639632107023,44,48,0.521739130434783,92
"251","Hartwick",51,82,51,82,0,0,1,0,0,1
"252","Harvard",5931,5209,68.9651162790698,60.5697674418605,144.410533515732,143.800957592339,20,66,0.767441860465116,86
"253","Haskell",106,197,53,98.5,242,40.5,2,0,0,2
"254","Haverford",65,81,65,81,0,0,1,0,0,1
"255","Hawaii",7137,6729,75.1263157894737,70.8315789473684,128.622172452408,120.311758118701,37,58,0.610526315789474,95
"256","Hawaii Hilo",134,203,67,101.5,32,312.5,2,0,0,2
"257","Hawaii Pacific",109,147,54.5,73.5,40.5,12.5,2,0,0,2
"258","Heidelberg",57,85,57,85,0,0,1,0,0,1
"259","Hendrix",59,109,59,109,0,0,1,0,0,1
"260","High Point",6292,6079,71.5,69.0795454545455,142.735632183908,118.763714733542,35,53,0.602272727272727,88
"261","Hillsdale",124,204,62,102,72,200,2,0,0,2
"262","Hillsdale Bap",277,511,55.4,102.2,11.3,136.7,5,0,0,5
"263","Hiwassee",407,631,58.1428571428571,90.1428571428571,73.1428571428571,129.142857142857,7,0,0,7
"264","Hofstra",6589,6628,68.6354166666667,69.0416666666667,181.434100877193,190.419298245614,60,36,0.375,96
"265","Holy Cross",5958,6032,64.7608695652174,65.5652173913043,154.711419015767,152.270425226947,47,45,0.489130434782609,92
"266","Holy Names",96,137,48,68.5,72,264.5,2,0,0,2
"267","Hood",51,78,51,78,0,0,1,0,0,1
"268","Hope Intl",74,86,74,86,0,0,1,0,0,1
"269","Houghton",51,80,51,80,0,0,1,0,0,1
"270","Houston",6580,6560,70.752688172043,70.5376344086021,156.340345956054,136.990416082281,46,47,0.505376344086022,93
"271","Houston Bap",5627,6132,66.9880952380952,73,177.361302352266,181.807228915663,57,27,0.321428571428571,84
"272","Howard",5478,6025,58.9032258064516,64.7849462365591,165.39270687237,148.192379616643,63,30,0.32258064516129,93
"273","Howard Payne",200,370,50,92.5,108.666666666667,348.333333333333,4,0,0,4
"274","Huston-Tillot",633,892,63.3,89.2,93.3444444444444,47.2888888888889,10,0,0,10
"275","Idaho",6672,6772,72.5217391304348,73.6086956521739,101.175346392738,96.6803631151457,52,40,0.434782608695652,92
"276","Idaho St",5631,5987,63.9886363636364,68.0340909090909,165.988375130617,110.148249738767,65,23,0.261363636363636,88
"277","IL Chicago",6133,6532,64.5578947368421,68.7578947368421,113.547144456887,153.547144456887,63,32,0.336842105263158,95
"278","Illinois",6506,6115,67.7708333333333,63.6979166666667,164.262719298246,106.949890350877,38,58,0.604166666666667,96
"279","Illinois St",6738,6344,70.9263157894737,66.7789473684211,126.707278835386,152.365509518477,41,54,0.568421052631579,95
"280","IL Springfield",57,88,57,88,0,0,1,0,0,1
"281","Immaculata",54,79,54,79,0,0,1,0,0,1
"282","Incarnate Word",4446,4032,80.8363636363636,73.3090909090909,163.176430976431,182.032323232323,16,39,0.709090909090909,55
"283","Indiana",7373,6448,76.8020833333333,67.1666666666667,187.970942982456,123.824561403509,33,63,0.65625,96
"284","Indiana NW",104,190,52,95,2,98,2,0,0,2
"285","Indiana St",6348,6263,68.258064516129,67.3440860215054,96.7805049088359,110.619448340346,39,54,0.580645161290323,93
"286","Indiana Tech",50,93,50,93,0,0,1,0,0,1
"287","IN S Bend",55,91,55,91,0,0,1,0,0,1
"288","Iona",7814,7232,81.3958333333333,75.3333333333333,133.483771929825,117.00350877193,31,65,0.677083333333333,96
